GP,MIN,FGM,FG%,3P Made,3P%,FTA,FT%,OREB,REB,AST,STL,BLK,TOV,target_5yrs,EFF_RATING,AST_TO_RATIO,REB_PER_MIN
61,34.0,3.7,0.42,1.5,0.333,0.7,0.714,3.8,7.5,5.0,1.2,1.5,4.2,1,0.2377,1.1902,0.2206
64,18.3,1.1,0.478,2.8,0.384,7.3,0.671,2.4,5.6,4.3,2.2,1.6,3.9,1,0.1328,1.1023,0.306
63,15.8,3.8,0.442,2.7,0.307,5.5,0.8,1.2,5.6,3.3,2.8,0.9,1.6,0,0.2175,2.0612,0.3544
69,27.0,5.8,0.468,0.5,0.385,1.8,0.722,1.8,4.5,6.5,0.8,2.0,0.3,1,0.2725,21.5947,0.1667
22,31.7,3.0,0.423,1.1,0.407,4.8,0.688,3.2,6.5,1.3,1.1,1.9,0.8,1,0.5227,1.623,0.205
67,30.2,0.2,0.4,1.9,0.288,5.8,0.862,0.6,7.6,7.2,0.5,1.7,4.4,0,0.1791,1.636,0.2516
76,31.3,0.1,0.5,0.5,0.5,5.6,0.661,1.2,8.3,5.3,2.1,0.3,4.2,0,0.1316,1.2616,0.2652
26,19.4,2.1,0.412,2.9,0.46,3.9,0.718,2.7,5.5,8.0,2.9,1.4,1.6,1,0.6615,4.9969,0.2835
16,32.0,5.5,0.43,2.7,0.5,3.6,0.639,1.3,5.7,8.6,1.9,1.1,1.6,0,1.2437,5.3716,0.1781
51,9.0,1.7,0.548,0.5,0.417,5.5,0.782,3.2,10.4,3.6,1.9,1.5,4.0,0,0.2725,0.8998,1.1554
57,23.0,3.8,0.494,0.4,0.444,7.6,0.868,0.5,1.7,3.2,1.7,2.8,4.7,1,0.1316,0.6807,0.0739
29,5.2,1.5,0.441,0.3,0.25,6.4,0.734,3.1,10.5,5.2,0.3,1.4,3.9,0,0.4586,1.333,2.0188
78,15.7,1.9,0.475,2.7,0.386,0.6,0.833,0.3,2.6,0.5,2.2,0.0,3.1,1,0.0513,0.1612,0.1656
69,17.1,5.3,0.505,0.6,0.429,5.1,0.627,0.1,6.1,9.5,1.8,1.3,1.4,1,0.3,6.7809,0.3567
47,18.1,4.9,0.434,1.2,0.4,6.9,0.899,3.6,8.7,1.4,2.0,2.5,2.7,1,0.3426,0.5183,0.4806
62,28.0,0.8,0.471,1.3,0.26,1.0,0.7,2.3,6.9,9.0,2.7,2.3,1.3,0,0.3242,6.9178,0.2464
69,17.8,2.8,0.483,1.8,0.327,9.4,0.734,1.4,8.8,0.8,2.4,1.5,4.1,0,0.1406,0.1951,0.4944
76,19.8,0.3,0.429,0.2,0.4,8.5,0.776,0.9,2.7,8.2,2.3,0.7,2.1,0,0.1342,3.9029,0.1364
16,12.8,3.4,0.515,0.7,0.269,0.6,0.833,2.5,5.9,1.5,2.8,1.4,4.2,0,0.6688,0.3571,0.4609
48,17.3,3.3,0.367,2.8,0.359,9.2,0.707,2.0,6.7,0.4,3.0,1.7,2.0,1,0.2167,0.1999,0.3873
39,12.5,0.8,0.381,2.7,0.375,3.5,0.714,4.0,10.6,7.2,1.7,3.0,4.2,0,0.4641,1.7139,0.8479
33,7.4,1.8,0.4,2.3,0.411,7.3,0.808,3.9,6.4,2.8,0.3,1.9,1.8,0,0.303,1.5547,0.8647
23,24.9,2.1,0.525,0.1,0.333,4.5,0.644,2.5,9.0,7.1,1.4,2.1,2.3,0,0.7739,3.0856,0.3614
10,27.1,4.6,0.39,1.0,0.385,3.9,0.795,1.8,5.3,5.6,2.4,1.5,3.2,0,1.54,1.7495,0.1956
69,25.4,5.8,0.384,1.9,0.297,5.8,0.759,2.0,4.2,1.1,0.1,1.1,0.5,0,0.1507,2.1956,0.1653
34,20.3,0.3,0.375,0.8,0.381,7.4,0.73,2.7,9.0,9.3,0.2,2.4,4.8,0,0.4235,1.9371,0.4433
52,17.5,4.9,0.521,2.7,0.318,0.2,1.0,0.4,1.6,4.5,0.2,1.5,3.0,0,0.1865,1.4995,0.0914
10,33.5,2.5,0.41,1.9,0.463,6.6,0.636,1.3,5.9,7.3,2.2,3.0,2.6,0,1.59,2.8066,0.1761
19,22.1,2.5,0.379,0.2,0.4,1.7,0.765,0.3,1.4,5.0,1.5,1.4,4.2,0,0.3789,1.1902,0.0633
58,20.8,4.3,0.422,2.7,0.355,2.7,0.889,0.3,3.6,6.0,1.1,0.2,4.4,0,0.181,1.3633,0.1731
1,5.8,5.1,0.408,2.9,0.259,3.1,0.774,0.8,5.8,3.0,0.3,2.0,2.7,0,12.8,1.1107,0.9998
69,16.3,6.2,0.443,0.2,0.333,4.6,0.717,1.9,6.7,2.0,2.2,0.1,4.7,1,0.1623,0.4254,0.411
4,17.5,4.1,0.432,1.6,0.302,3.1,0.742,3.1,7.0,5.4,1.0,0.8,0.5,1,4.25,10.7784,0.4
16,18.2,2.1,0.538,0.9,0.391,1.2,0.667,1.9,6.0,4.4,0.8,1.1,0.7,0,0.8312,6.2767,0.3297
24,24.1,5.6,0.409,1.2,0.444,1.1,0.909,1.3,3.7,3.9,2.0,2.2,3.1,1,0.5917,1.2577,0.1535
80,22.6,1.5,0.536,0.5,0.455,0.2,1.0,0.3,4.5,6.7,1.7,1.5,1.9,0,0.175,3.5245,0.1991
2,25.1,3.2,0.444,1.7,0.386,5.0,0.66,2.2,9.8,6.9,1.1,0.1,2.4,1,8.5,2.8738,0.3904
32,30.2,2.1,0.477,2.9,0.433,7.6,0.882,1.1,8.0,0.5,1.9,1.9,1.8,0,0.3656,0.2776,0.2649
24,31.8,3.6,0.429,1.5,0.429,1.2,0.667,2.5,4.2,3.4,0.8,1.2,2.1,0,0.4458,1.6183,0.1321
12,28.7,1.3,0.52,0.2,0.286,7.6,0.868,3.9,4.9,4.1,2.4,2.8,4.1,0,0.8667,0.9998,0.1707
50,36.5,1.2,0.4,1.9,0.487,7.7,0.662,0.4,8.3,1.0,0.7,1.5,3.0,1,0.142,0.3332,0.2274
35,5.6,5.1,0.386,1.0,0.323,5.8,0.776,0.8,5.6,2.4,0.5,2.1,5.0,0,0.2686,0.4799,0.9998
33,11.5,0.7,0.5,2.6,0.361,6.3,0.714,1.9,6.6,0.5,2.3,0.7,4.0,0,0.1515,0.125,0.5739
33,5.2,3.5,0.522,1.3,0.333,6.8,0.853,3.9,10.4,10.0,2.1,2.3,1.5,1,0.7818,6.6622,1.9996
61,26.4,1.7,0.515,0.6,0.316,0.8,0.875,3.1,6.4,7.4,0.5,2.2,1.5,0,0.2721,4.93,0.2424
51,34.6,0.4,0.364,0.6,0.375,4.2,0.833,3.6,7.9,0.9,0.3,2.7,1.8,1,0.1902,0.4997,0.2283
43,13.0,0.3,0.429,2.3,0.383,5.7,0.86,1.3,6.4,0.2,2.5,0.1,4.2,1,0.1047,0.0476,0.4923
12,35.6,1.1,0.44,0.8,0.286,5.2,0.788,4.0,9.8,5.3,2.3,1.3,0.3,0,1.5333,17.608,0.2753
67,7.0,4.6,0.523,2.3,0.267,7.9,0.734,0.4,2.5,4.4,1.0,2.0,1.3,1,0.1657,3.382,0.3571
65,35.8,2.0,0.408,0.6,0.429,0.7,0.714,0.2,2.2,7.9,2.0,0.3,4.5,1,0.1492,1.7552,0.0615
33,16.6,6.7,0.374,1.0,0.455,7.2,0.667,3.4,5.9,9.2,0.4,1.2,3.3,0,0.5364,2.787,0.3554
40,8.3,3.0,0.38,1.4,0.264,5.3,0.698,3.7,10.3,6.0,1.5,2.8,1.3,1,0.5175,4.6118,1.2408
74,21.0,3.2,0.41,2.8,0.368,3.8,0.711,0.4,3.4,1.9,0.1,1.3,1.3,0,0.1014,1.4604,0.1619
43,13.5,3.6,0.529,2.8,0.322,3.1,0.774,0.5,1.3,7.8,1.2,3.0,4.3,1,0.2767,1.8135,0.0963
44,14.4,3.0,0.526,0.6,0.375,5.7,0.754,0.1,8.2,9.6,0.2,0.2,4.5,0,0.3477,2.1329,0.5694
29,15.1,4.5,0.542,1.1,0.44,8.1,0.765,0.4,2.4,5.8,1.4,2.2,1.4,0,0.4483,4.1399,0.1589
13,31.5,2.1,0.488,0.4,0.308,5.3,0.66,0.8,1.5,6.8,1.3,1.7,2.2,0,0.7231,3.0895,0.0476
12,22.8,2.6,0.52,1.5,0.326,7.0,0.829,3.9,6.4,5.3,1.3,1.5,4.2,0,0.975,1.2616,0.2807
46,15.3,6.4,0.485,1.4,0.412,3.1,0.903,2.7,6.4,3.8,0.1,2.9,3.9,0,0.3348,0.9741,0.4183
2,25.1,5.5,0.458,2.7,0.346,1.0,0.7,3.1,7.1,7.3,1.1,0.4,4.1,1,8.5,1.7801,0.2829
35,28.6,5.3,0.366,2.8,0.277,0.5,0.8,3.1,10.8,9.3,2.3,2.7,2.7,1,0.7886,3.4432,0.3776
81,14.0,2.9,0.414,1.2,0.316,0.6,0.667,2.1,9.4,6.3,1.1,2.1,4.6,1,0.2099,1.3693,0.6714
8,18.6,4.5,0.378,1.5,0.455,4.1,0.659,3.2,7.1,7.9,2.1,0.8,1.8,1,2.4,4.3865,0.3817
26,9.0,2.6,0.4,2.7,0.321,2.7,0.889,2.4,6.5,5.3,1.1,2.7,1.0,1,0.65,5.2947,0.7221
74,11.0,3.7,0.521,2.4,0.293,5.8,0.862,1.3,6.4,2.1,1.3,1.3,3.6,1,0.1405,0.5832,0.5818
34,27.5,1.3,0.394,0.0,0.0,7.0,0.743,2.2,4.9,5.3,1.7,2.4,2.8,1,0.3235,1.8922,0.1782
7,11.0,3.3,0.485,1.0,0.303,0.6,0.667,2.1,3.2,1.8,2.9,1.2,4.3,0,1.1286,0.4185,0.2909
68,22.3,1.3,0.406,1.3,0.433,1.9,0.789,3.3,11.2,6.3,0.3,2.6,0.6,1,0.3044,10.4825,0.5022
58,28.4,2.2,0.468,0.7,0.292,2.8,0.679,3.9,6.0,2.9,0.1,1.9,4.2,0,0.1379,0.6903,0.2113
75,8.5,4.9,0.358,0.6,0.3,5.3,0.717,1.6,3.7,7.9,1.8,0.4,1.6,1,0.208,4.9344,0.4352
29,23.7,1.1,0.478,0.1,0.5,1.3,0.769,3.1,7.2,8.1,2.8,1.9,3.3,1,0.6034,2.4538,0.3038
36,13.5,0.5,0.5,1.9,0.352,1.0,0.9,0.4,4.8,4.6,3.0,0.6,0.4,0,0.3611,11.4713,0.3555
21,36.8,0.5,0.357,0.8,0.381,9.7,0.68,3.1,3.8,1.8,1.5,1.2,3.1,0,0.1238,0.5805,0.1033
36,21.0,5.2,0.547,0.2,0.286,6.8,0.824,1.5,3.6,6.5,1.4,0.5,3.6,0,0.3444,1.8051,0.1714
10,31.6,3.3,0.402,0.7,0.412,2.0,0.65,0.2,6.4,9.9,1.9,0.1,2.0,0,1.89,4.9475,0.2025
73,23.2,2.4,0.393,2.4,0.316,3.7,0.757,1.5,7.3,6.2,1.7,0.6,1.2,1,0.2205,5.1624,0.3146
24,6.4,4.9,0.38,2.6,0.263,3.5,0.714,2.4,4.8,0.4,1.9,1.6,2.8,0,0.4083,0.1428,0.7499
64,25.9,5.8,0.36,1.4,0.28,8.5,0.647,0.5,4.4,0.2,2.6,1.4,4.2,0,0.1125,0.0476,0.1699
49,36.4,1.9,0.358,1.2,0.261,5.5,0.655,3.7,8.7,3.2,2.2,1.5,1.8,1,0.2816,1.7768,0.239
36,24.9,4.1,0.539,2.9,0.252,1.2,0.75,0.3,7.6,2.0,1.5,0.7,1.4,0,0.3944,1.4276,0.3052
24,32.0,4.9,0.383,0.6,0.5,6.3,0.825,3.7,7.0,8.1,1.4,2.1,1.5,1,0.8708,5.3964,0.2187
23,34.2,3.4,0.41,0.6,0.316,4.2,0.667,2.8,4.5,8.4,1.9,2.1,4.8,1,0.613,1.7496,0.1316
62,12.5,1.2,0.414,0.9,0.36,2.4,0.75,1.3,5.8,2.6,1.4,1.1,1.9,0,0.1548,1.3677,0.464
37,12.0,5.7,0.518,0.5,0.263,3.1,0.839,1.6,8.1,3.3,1.4,2.6,0.2,1,0.5514,16.4179,0.6749
12,25.2,4.0,0.408,1.1,0.393,5.4,0.648,3.0,4.7,2.4,0.0,1.9,4.0,0,0.5917,0.5999,0.1865
55,18.6,1.6,0.356,2.7,0.252,2.9,0.828,2.4,6.5,9.1,0.5,2.1,3.6,1,0.2855,2.5271,0.3494
13,32.7,2.4,0.369,1.8,0.31,1.9,0.895,2.7,3.6,5.0,1.5,0.8,0.8,0,0.9462,6.2422,0.1101
23,34.7,0.3,0.429,1.2,0.279,3.1,0.903,1.6,2.6,6.6,2.5,0.0,4.9,0,0.2957,1.3467,0.0749
30,16.7,0.8,0.533,2.8,0.459,0.1,1.0,2.0,6.4,4.2,0.8,2.6,3.1,1,0.39,1.3544,0.3832
17,12.8,4.8,0.462,0.1,0.5,7.7,0.701,4.0,7.1,6.3,1.6,2.5,2.6,1,1.0235,2.4221,0.5546
62,30.8,0.1,0.333,0.6,0.286,1.5,0.8,0.9,8.1,3.9,1.0,0.4,2.0,1,0.1806,1.949,0.263
13,14.1,2.6,0.4,1.7,0.486,0.4,0.75,1.7,6.8,3.4,0.3,1.1,4.5,0,0.7385,0.7554,0.4822
59,32.1,3.3,0.44,1.8,0.277,5.8,0.793,1.2,5.3,6.3,2.9,2.0,1.4,1,0.2915,4.4968,0.1651
19,19.0,0.4,0.571,0.1,0.5,7.8,0.692,3.1,7.1,5.9,2.6,2.0,1.6,0,0.7368,3.6852,0.3737
49,27.0,6.5,0.448,1.2,0.3,6.4,0.891,3.1,7.5,2.9,0.2,2.6,0.8,0,0.3714,3.6205,0.2778
12,8.2,1.7,0.436,1.9,0.365,5.5,0.636,1.2,2.2,1.5,2.2,0.4,3.8,0,0.1833,0.3946,0.2683
61,25.6,1.8,0.367,2.1,0.309,1.7,0.824,0.3,7.7,3.7,1.0,1.3,3.1,1,0.1984,1.1932,0.3008
19,19.9,1.6,0.41,1.9,0.297,8.3,0.627,0.0,8.3,4.2,3.0,0.3,3.1,0,0.5895,1.3544,0.4171
76,24.4,1.5,0.469,1.0,0.37,5.8,0.845,1.7,4.1,6.3,0.9,1.2,1.2,0,0.1566,5.2456,0.168
9,10.5,0.1,0.5,0.3,0.429,2.5,0.68,1.6,3.2,9.1,0.7,0.0,3.3,0,1.0,2.7567,0.3047
71,29.3,4.7,0.534,1.3,0.464,7.6,0.829,4.0,5.7,0.4,1.7,2.7,3.9,0,0.1408,0.1025,0.1945
28,33.5,5.8,0.36,0.4,0.308,0.8,0.875,1.9,7.5,2.4,2.5,1.6,1.9,1,0.6357,1.2625,0.2239
78,12.2,1.6,0.457,2.8,0.329,10.6,0.651,1.0,6.5,1.9,0.6,2.5,4.0,0,0.0692,0.4749,0.5327
52,8.2,3.8,0.437,1.4,0.286,9.2,0.652,3.6,10.8,5.0,2.1,0.2,1.9,0,0.3231,2.6302,1.3169
16,5.8,3.7,0.462,1.0,0.333,6.2,0.774,2.0,8.4,4.3,0.2,0.7,3.8,1,0.7563,1.1313,1.448
69,26.2,5.2,0.403,2.3,0.354,9.6,0.688,2.4,6.4,7.3,2.8,0.8,0.4,1,0.2768,18.2045,0.2443
12,25.0,2.8,0.406,1.5,0.357,7.0,0.729,0.4,5.8,2.4,0.2,1.2,2.8,0,0.6417,0.8568,0.232
25,23.0,2.0,0.4,0.9,0.5,2.0,0.65,1.5,7.6,5.9,2.7,2.4,4.9,1,0.6,1.2038,0.3304
52,12.7,2.4,0.48,2.4,0.375,3.9,0.795,3.8,8.2,8.8,1.5,1.2,4.9,0,0.3154,1.7956,0.6456
53,17.9,3.7,0.474,2.6,0.252,0.7,0.714,2.4,6.7,9.1,1.3,0.6,1.6,0,0.3698,5.6839,0.3743
23,24.6,5.1,0.52,2.0,0.267,3.6,0.75,1.4,7.2,9.6,2.9,0.2,2.3,1,0.9478,4.1721,0.2927
16,21.4,1.2,0.414,0.1,0.333,6.6,0.788,2.5,7.4,7.7,3.0,0.2,0.5,1,1.1,15.3693,0.3458
57,37.6,2.1,0.538,1.7,0.315,4.2,0.643,3.6,9.3,9.1,2.0,2.3,4.4,1,0.3316,2.0677,0.2473
39,9.5,5.5,0.417,2.3,0.271,2.7,0.852,1.1,6.4,2.3,0.4,1.3,2.9,1,0.3231,0.7928,0.6736
53,27.9,4.6,0.374,0.4,0.333,4.9,0.857,2.0,8.3,2.0,1.5,2.2,2.0,1,0.3,0.9995,0.2975
42,18.3,7.2,0.371,0.7,0.5,8.5,0.718,3.8,9.5,0.1,1.6,2.0,0.7,0,0.4119,0.1427,0.5191
58,19.1,4.1,0.446,2.6,0.464,0.4,0.75,0.7,5.4,7.1,1.5,0.4,4.7,1,0.2362,1.5103,0.2827
39,28.7,2.1,0.447,0.1,0.333,3.2,0.844,2.9,8.9,9.4,1.7,0.4,2.7,1,0.4949,3.4802,0.3101
14,27.9,3.4,0.531,2.3,0.253,1.4,0.786,2.5,6.9,1.9,0.1,2.3,1.6,0,0.9071,1.1868,0.2473
5,37.7,3.4,0.405,1.4,0.298,7.7,0.636,2.7,5.3,5.3,2.1,2.2,1.9,0,2.72,2.788,0.1406
35,9.2,0.7,0.389,1.3,0.464,0.9,0.778,1.4,2.0,7.5,2.1,1.1,1.5,0,0.3343,4.9967,0.2174
75,8.4,3.4,0.486,0.0,0.0,6.7,0.701,1.3,6.2,9.3,0.3,0.2,3.1,1,0.1907,2.999,0.738
18,28.9,4.1,0.451,2.5,0.281,2.9,0.69,2.7,8.0,6.5,1.7,0.0,4.7,1,0.8167,1.3827,0.2768
76,24.1,1.0,0.385,1.1,0.268,1.9,0.737,0.9,9.0,9.7,1.7,0.9,4.3,0,0.2303,2.2553,0.3734
9,14.0,4.9,0.374,1.6,0.308,10.4,0.635,1.7,5.0,3.4,2.0,0.0,2.4,1,1.0111,1.4161,0.3571
74,7.6,3.8,0.487,2.0,0.303,0.1,1.0,0.8,4.3,3.5,0.3,0.7,4.2,0,0.1135,0.8331,0.5657
58,7.8,6.7,0.427,2.1,0.488,4.1,0.756,0.0,2.3,5.4,1.9,1.3,2.2,1,0.2483,2.4534,0.2948
17,34.5,0.4,0.5,2.9,0.274,0.3,0.667,3.9,5.0,3.8,0.8,0.4,1.4,0,0.5235,2.7123,0.1449
7,11.3,1.9,0.528,1.6,0.281,4.9,0.694,1.7,8.2,0.0,1.5,0.3,4.9,1,0.7857,0.0,0.7256
46,15.7,3.3,0.371,1.2,0.4,4.9,0.714,3.9,6.7,7.3,2.3,2.7,1.7,0,0.4174,4.2916,0.4267
13,12.5,2.1,0.382,2.9,0.293,3.5,0.657,0.6,6.0,7.5,2.1,1.8,1.8,0,1.2692,4.1644,0.48
40,16.7,5.2,0.391,1.9,0.413,1.2,0.75,2.3,6.4,7.5,0.4,2.8,5.0,1,0.425,1.4997,0.3832
42,7.3,4.5,0.542,0.9,0.474,3.2,0.812,0.8,4.9,3.5,1.8,1.0,0.8,0,0.3405,4.3695,0.6711
9,22.1,0.7,0.368,0.4,0.4,5.7,0.825,3.2,10.4,5.2,2.9,2.0,3.9,0,1.8111,1.333,0.4706
50,7.2,2.7,0.45,2.5,0.424,6.2,0.887,3.1,7.0,3.6,0.5,0.6,4.7,0,0.18,0.7658,0.9721
27,31.4,3.0,0.469,1.1,0.379,4.1,0.902,0.5,3.4,0.2,2.6,1.9,2.7,1,0.2963,0.074,0.1083
66,12.7,2.4,0.429,2.0,0.351,6.3,0.651,3.6,11.1,5.6,2.1,0.4,0.2,1,0.2909,27.8607,0.8739
5,22.8,5.0,0.526,1.4,0.333,2.0,0.7,0.8,7.9,1.2,2.3,0.0,2.0,0,2.76,0.5997,0.3465
29,34.0,4.9,0.392,0.6,0.333,2.9,0.69,2.5,4.2,0.8,0.8,2.8,0.7,0,0.4103,1.1412,0.1235
37,26.5,5.1,0.418,1.8,0.391,1.5,0.733,3.9,4.7,7.6,0.9,1.7,2.2,1,0.4703,3.453,0.1774
38,22.6,4.2,0.506,0.2,0.5,2.6,0.654,3.5,5.2,0.1,2.7,2.8,4.0,0,0.2658,0.025,0.2301
8,15.7,2.4,0.5,1.2,0.308,2.1,0.762,3.8,6.6,9.6,1.1,1.0,2.3,1,2.2375,4.1721,0.4204
65,16.0,5.8,0.504,1.6,0.356,5.5,0.655,1.4,9.6,5.2,0.2,1.0,2.3,1,0.2708,2.2599,0.6
17,27.1,4.6,0.541,1.3,0.382,5.0,0.78,0.4,5.5,9.8,1.8,1.2,2.9,1,1.1118,3.3781,0.2029
71,37.8,5.1,0.418,2.2,0.268,10.3,0.641,0.8,4.4,0.6,0.4,2.1,3.0,1,0.0831,0.1999,0.1164
45,26.8,6.0,0.38,2.5,0.287,2.0,0.7,2.0,9.6,5.8,2.4,1.7,4.3,1,0.4578,1.3485,0.3582
4,23.4,1.8,0.545,2.3,0.271,5.5,0.818,3.2,7.2,3.5,1.9,2.8,1.7,0,3.625,2.0576,0.3077
36,29.1,4.7,0.54,0.1,0.333,7.9,0.722,0.6,3.8,8.4,2.6,0.1,4.1,1,0.3694,2.0483,0.1306
70,20.4,1.5,0.417,0.6,0.429,5.3,0.736,2.6,10.3,3.6,2.4,2.1,2.9,0,0.2229,1.241,0.5049
31,7.0,1.8,0.383,1.6,0.296,2.1,0.857,1.3,8.6,2.6,0.3,1.0,1.6,0,0.4,1.624,1.2284
19,23.6,1.9,0.475,2.8,0.412,2.5,0.72,1.4,8.2,8.6,1.1,0.5,1.6,1,0.9474,5.3716,0.3474
61,36.6,5.7,0.463,2.5,0.347,0.4,0.75,2.6,7.3,3.7,2.3,1.5,1.9,1,0.3033,1.9463,0.1994
54,10.8,4.6,0.418,2.5,0.472,2.4,0.875,1.9,8.3,0.2,1.3,1.5,3.2,1,0.2296,0.0625,0.7684
39,27.8,5.1,0.481,0.9,0.273,8.2,0.634,3.2,5.4,3.9,2.9,0.4,1.3,1,0.3436,2.9977,0.1942
74,11.6,4.4,0.55,1.3,0.448,0.4,0.75,0.6,5.6,6.5,2.2,0.6,4.6,1,0.1973,1.4127,0.4827
19,22.7,3.3,0.393,1.4,0.264,2.3,0.652,3.2,11.4,2.5,0.0,1.2,3.0,0,0.7684,0.8331,0.5022
39,8.2,5.0,0.413,0.5,0.263,7.0,0.7,0.3,3.2,4.3,2.6,1.2,4.6,1,0.2462,0.9346,0.3902
67,19.9,2.7,0.422,0.1,0.333,7.0,0.786,0.8,7.5,0.6,0.3,1.0,0.4,1,0.1522,1.4963,0.3769
45,30.0,2.6,0.394,2.8,0.286,4.3,0.744,2.6,7.1,5.9,0.4,0.4,1.8,0,0.3,3.276,0.2367
13,16.5,0.9,0.409,0.7,0.304,7.0,0.7,3.4,4.7,7.6,2.2,0.0,0.3,0,1.0,25.2492,0.2848
58,26.9,5.6,0.5,0.7,0.28,4.3,0.628,1.0,7.2,4.1,2.6,2.9,1.5,1,0.3328,2.7315,0.2676
20,31.2,3.9,0.464,0.3,0.333,1.3,0.846,1.3,3.6,4.2,1.6,2.8,4.3,0,0.58,0.9765,0.1154
72,35.6,2.0,0.513,2.8,0.28,4.3,0.651,2.1,7.6,0.9,0.9,1.5,0.4,0,0.1528,2.2444,0.2135
61,12.7,0.3,0.5,1.7,0.34,6.4,0.641,0.8,2.3,2.0,1.1,3.0,2.3,0,0.0672,0.8692,0.1811
39,18.2,4.6,0.404,2.0,0.256,9.5,0.695,3.2,11.0,1.5,1.0,2.0,0.8,1,0.4205,1.8727,0.6044
1,10.0,0.2,0.4,2.7,0.338,0.8,0.625,3.1,6.0,4.8,1.0,0.2,2.2,0,9.7,2.1808,0.5999
3,37.8,4.4,0.361,1.0,0.345,4.7,0.766,0.6,3.2,5.3,0.7,0.4,4.2,1,2.9,1.2616,0.0847
77,35.6,5.8,0.411,1.9,0.279,3.6,0.639,1.9,3.6,9.5,1.8,2.7,3.2,1,0.2455,2.9678,0.1011
62,22.8,2.6,0.5,0.1,0.25,5.2,0.692,3.1,11.0,0.7,2.7,1.9,3.7,1,0.2194,0.1891,0.4824
63,32.8,1.3,0.52,0.6,0.316,0.2,1.0,1.3,7.1,6.0,0.9,2.5,1.9,1,0.2524,3.1562,0.2165
25,22.2,4.0,0.381,2.5,0.424,3.4,0.647,2.5,8.7,5.3,0.6,2.7,4.7,1,0.616,1.1274,0.3919
56,25.6,5.0,0.42,2.3,0.338,7.7,0.74,0.2,4.7,5.2,2.5,1.3,3.6,1,0.2339,1.444,0.1836
33,7.9,3.0,0.411,1.1,0.256,5.2,0.75,2.4,6.9,8.7,2.2,0.1,2.2,1,0.5273,3.9527,0.8733
38,29.9,4.9,0.389,1.1,0.282,4.4,0.727,0.6,2.2,2.1,2.8,0.6,2.2,0,0.2421,0.9541,0.0736
6,9.2,0.5,0.385,1.6,0.276,2.3,0.87,3.3,8.1,0.4,0.5,0.2,4.6,0,0.8,0.0869,0.8803
58,32.3,2.6,0.382,0.0,0.0,2.8,0.75,1.4,4.0,6.7,0.4,0.6,3.0,1,0.1828,2.2326,0.1238
44,30.8,5.2,0.536,0.7,0.333,4.1,0.659,1.1,9.1,3.5,1.6,1.2,3.6,1,0.3545,0.972,0.2954
45,28.4,4.6,0.393,0.6,0.3,6.4,0.906,3.4,10.1,0.2,1.8,0.4,2.2,1,0.3178,0.0909,0.3556
32,6.2,1.3,0.382,0.8,0.276,8.4,0.81,0.2,4.2,2.5,1.4,0.5,1.3,1,0.2188,1.9216,0.6773
45,15.0,5.7,0.479,2.4,0.48,3.4,0.912,1.6,3.6,3.1,1.8,1.3,3.7,1,0.2556,0.8376,0.24
61,13.7,3.4,0.41,0.8,0.267,3.7,0.757,1.5,7.9,6.2,0.5,1.0,3.1,0,0.2459,1.9994,0.5766
47,16.9,2.3,0.469,0.6,0.316,8.6,0.686,1.1,2.9,1.7,1.4,1.4,2.6,1,0.0936,0.6536,0.1716
21,7.9,0.9,0.36,1.5,0.417,4.5,0.667,3.6,5.7,4.1,2.0,1.3,3.2,0,0.4429,1.2808,0.7214
80,35.9,6.3,0.543,2.6,0.382,6.1,0.639,3.0,5.5,5.3,1.3,1.9,1.2,1,0.2112,4.413,0.1532
75,23.3,1.0,0.417,0.7,0.389,2.2,0.727,0.3,5.1,4.6,2.0,2.8,4.0,0,0.1453,1.1497,0.2189
36,15.1,1.7,0.515,0.2,0.333,6.4,0.812,2.9,9.6,9.7,1.4,0.3,4.8,0,0.4639,2.0204,0.6357
19,18.1,1.9,0.396,1.1,0.478,5.8,0.638,2.1,5.1,0.5,1.0,0.3,4.5,1,0.1158,0.1111,0.2818
20,19.8,5.9,0.504,2.2,0.431,8.5,0.671,3.6,4.9,9.5,0.9,2.6,1.7,1,0.965,5.585,0.2475
57,24.8,4.2,0.494,1.7,0.274,7.6,0.724,1.3,5.3,5.8,1.2,1.5,2.1,0,0.2421,2.7606,0.2137
18,22.0,5.9,0.437,2.5,0.439,2.2,0.682,2.3,8.5,8.0,0.1,2.3,4.1,1,1.1111,1.9507,0.3863
47,35.3,1.4,0.368,2.9,0.403,7.8,0.641,2.0,4.2,4.3,2.0,0.6,3.1,0,0.1404,1.3866,0.119
49,21.4,3.3,0.5,2.4,0.343,8.2,0.683,2.0,4.2,4.5,2.5,2.5,2.8,1,0.2367,1.6066,0.1963
14,37.7,3.4,0.515,1.8,0.327,3.1,0.774,1.8,9.5,8.8,1.1,2.8,4.6,1,1.45,1.9126,0.252
15,33.1,5.3,0.39,1.5,0.283,1.7,0.706,0.8,8.8,9.0,0.1,1.9,2.8,0,1.4533,3.2131,0.2659
31,11.9,4.9,0.434,0.1,0.333,0.0,0.0,3.0,10.9,2.4,3.0,0.3,2.7,0,0.6065,0.8886,0.9159
1,35.7,0.2,0.4,3.0,0.28,4.1,0.78,1.8,8.7,2.0,0.8,2.7,0.4,0,13.1,4.9875,0.2437
54,8.8,3.6,0.514,1.2,0.308,3.3,0.758,3.8,5.8,5.0,0.4,2.4,0.5,1,0.2944,9.98,0.659
